"Symbol";"Company";"Sector";"Subsector";"Price";"Country";"Volume";"EPS_TTM";"EPS_2016";"EPS_2017";"EPS_2018";"EPS_2019";"EPS_2020";"EPS_2021";"FScore_2016";"FScore_2017";"FScore_2018";"FScore_2019";"FScore_2020";"FScore_TTM";"FScore_2021";"Interest_Coverage_2016";"Interest_Coverage_2017";"Interest_Coverage_2018";"Interest_Coverage_2019";"Interest_Coverage_2020";"Interest_Coverage_TTM";"Interest_Coverage_2021"
"CVSGF";"CVS Group PLC";"Consumer Cyclical";"Personal Services";34,4;"UK";450;0,22;"0.16";"0.23";"0.21";"0.15";"0.10";NA;"5.00";"6.00";"6.00";"4.00";"3.00";3;NA;NA;7,48;5,53;4,59;2,43;6,78;6,08
"CVX";"Chevron Corp";"Energy";"Oil & Gas";98,39;"USA";9955808;1,87;"-0.27";"4.85";"7.74";"1.54";"-2.96";NA;"2.00";"8.00";"8.00";"5.00";"4.00";7;NA;NA;10,19;19,31;0,13;NA;17,79;NA
"CW";"Curtiss-Wright Corp";"Industrials";"Industrial Products";122,24;"USA";126127;5,79;"4.15";"4.80";"6.22";"7.15";"4.80";NA;"7.00";"9.00";"7.00";"7.00";"4.00";5;NA;7,19;7,84;10,99;12,89;9,95;9,29;NA
"CWBHF";"Charlottes Web Holdings Inc";"Healthcare";"Drug Manufacturers";2,38;"USA";231936;-0,3;"0.01";"0.08";"0.12";"-0.16";"-0.38";NA;"N/A";"N/A";"N/A";"1.00";"2.00";4;NA;25,13;48,67;81,01;NA;NA;0;NA
"CWCO";"Consolidated Water Co Ltd";"Utilities";"Utilities - Regulated";12,2;"Cayman Islands";55263;0,07;"0.27";"0.41";"0.75";"0.80";"0.24";NA;"7.00";"7.00";"6.00";"7.00";"6.00";5;NA;53,59;886;NA;NA;833,4;447;NA
"CWEGF";"Crew Energy Inc";"Energy";"Oil & Gas";1,46;"Canada";63238;-0,05;"-0.34";"0.18";"0.06";"0.06";"-1.05";NA;"4.00";"7.00";"5.00";"5.00";"3.00";5;NA;NA;1,64;1,78;0,86;NA;3,61;NA
"CWEN";"Clearway Energy Inc";"Utilities";"Utilities - Independent Power Producers";31,83;"USA";621931;0,39;"0.58";"-0.16";"0.46";"-0.10";"0.22";NA;"9.00";"3.00";"8.00";"3.00";"7.00";3;NA;1,44;1,07;1,2;0,64;0,88;1,3;NA
"CWGL";"Crimson Wine Group Ltd";"Consumer Defensive";"Beverages - Alcoholic";9;"USA";10353;0,06;"0.14";"0.23";"0.04";"-0.24";"-0.28";NA;"5.00";"6.00";"6.00";"5.00";"4.00";9;NA;7,72;5,56;2,77;NA;NA;7,37;NA
"CWH";"Camping World Holdings Inc";"Consumer Cyclical";"Vehicles & Parts";40,39;"USA";883969;5,51;"0.07";"1.12";"0.28";"-1.62";"3.09";NA;"7.00";"5.00";"5.00";"3.00";"7.00";8;NA;4,13;5,04;2,4;0,78;6,65;20,75;NA
"CWK";"Cushman & Wakefield PLC";"Real Estate";"Real Estate";18,23;"UK";1375141;-0,14;"-2.40";"-1.22";"-1.09";NA;"-1.00";NA;"N/A";"N/A";"6.00";"5.00";"3.00";6;NA;NA;NA;0,06;1,29;0,02;3,18;NA
"CWQXF";"Castellum AB";"Real Estate";"Real Estate";29,25;"Sweden";735;4,11;"2.30";"2.56";"3.02";"2.19";"2.45";NA;"5.00";"5.00";"8.00";"4.00";"4.00";5;NA;3,57;3,84;4,42;5,02;5,26;5,44;NA
"CWSRF";"Chartwell Retirement Residences";"Real Estate";"REITs";10,25;"Canada";344;-0,02;"0.02";"0.05";"0.07";NA;"0.05";NA;"6.00";"7.00";"6.00";"4.00";"5.00";2;NA;1,15;1,2;1,16;1,16;0,87;0,82;NA
"CWST";"Casella Waste Systems Inc";"Industrials";"Waste Management";74,38;"USA";199525;1,86;"-0.17";"-0.52";"0.15";"0.66";"1.86";NA;"6.00";"4.00";"5.00";"6.00";"7.00";7;NA;1,17;2,42;2,22;2,78;3,34;4,49;NA
